Pelicula,Genero,Duracion(min),Rating
Its whats Inside,Terror,103,2.5
Cuando Acecha La Maldad,Terror,100,3.5
Sociedad de la nieve,Suspenso,144,4
Dream Scenario,Terror,102,3
Oppenheimer,Suspenso,181,4
Avatar,Acción,192,4
Talk to me,Terror,95,3.5
The Menu,Suspenso,107,3
Glass Onion,Suspenso,140,3
The Whale,Drama,117,4
Argentina 1985,Suspenso,141,3
The trial of the Chicago 7,Drama,130,3.5
Dont Fuck With Cats,Documental,187,4.5
Knives Out,Suspenso,131,4
Joker,Drama,122,4
Parasite,Suspenso,133,4
The Lighthouse,Suspenso,109,3
Bohemian Rapsody,Musical,135,4
Green Book,Drama,130,4.5
Hotel Mumbai,Drama,123,3.5
Hereditary,Terror,128,4
Assasins Creed,Acción,116,1
La la land,Musical,129,3
The Big Short,Drama,131,4
Spotlight,Suspenso,129,4.5
Interstellar,Suspenso,169,5
The imitation Game,Suspenso,113,4.5
Whiplash,Drama,107,4
The Wolf of Wall Street,Comedia,180,3.5
The Hobbit 2,Acción,161,3.5
Captain Phillips,Drama,134,3.5
Django,Acción,165,4
The Hobbit   ,Acción,169,4
Flight,Drama,138,3.5
The Huger Games,Acción,142,4
Harry Potter Reliquias 2,Suspenso,130,4.5
Midnight in Paris,Comedia,94,3.5
Harry Potter Reliquias 1,Romantico,146,4.5
The Social Network,Comedia,121,4.5
Black Swan,Drama,109,3.5
Shutter Island,Suspenso,138,4.5
Sherlock Holmes,Suspenso,129,2.5
This is It,Musical,111,2.5
Harry Potter y el principe Mestizo,Suspenso,153,3.5
The Taking of Pelham 123,Suspenso,106,3.5
Inglourious Basterds,Acción,153,4
The Dark Knight,Acción,152,4
Harry Potter y la Orden del Phoenix,Suspenso,138,3.5
Paranoia,Terror,105,3.5
Number 23,Suspenso,98,3.5
Apocalypto,Acción,139,2.5
Click,Comedia,107,3
United 930,Drama,111,4
Dodgeball,Comedia,92,3
The Terminal ,Suspenso,128,4
Farenheit 9/11,Documental,123,2
Saw,Terror,103,3
Lord of the Rings 3,Acción,201,5
Kill Bill 1,Acción,111,4
Catch Me If You Can,Suspenso,141,3.5
Gangs of New York,Acción,168,4.5
The pianist,Drama,150,3.5
City of God,Drama,129,3.5
Donnie Darko,Terror,114,2
Gladiator,Acción,155,4
The Beach ,Suspenso,119,2.5
The Green Mile,Drama,189,4
Fight Club,Acción,139,4
The Sixth Sense,Suspenso,107,3.5
The Truman Show,Drama,103,4
Seven Years in Tibet,Acción,136,2.5
Se7en,Suspenso,127,5
Pulp Fiction,Acción,154,4.5
Reservoir Dogs,Acción,99,4
Cape Fear,Suspenso,128,4
Awakenings,Drama,120,5
Dead Poets Society,Drama,128,4
Midnight Express,Suspenso,121,4
Taxi Driver,Drama,114,3.5
One Flew Over The Cuckoos Nest,Drama,133,4.5
A Clockwork Orange,Acción,137,4.5
Rear Window,Suspenso,112,3.5
